Factory,Production,Downtime,Defect_Rate,Maintenance_Cost,Output
Factory-1,2190,11,2.5,19264,2135
Factory-2,2016,16,2.2,12048,1972
Factory-3,2249,9,2.1,19871,2202
Factory-4,2082,19,2,15849,2040
Factory-5,2974,10,2.6,16789,2897
Factory-1,2950,18,1.6,16642,2903
Factory-2,2156,7,2.1,11095,2111
Factory-3,2839,12,1,16120,2811
Factory-4,2999,8,2,10628,2939
Factory-5,2265,7,2.3,12093,2213
Factory-1,2205,14,1.7,17791,2168
Factory-2,2542,18,2.6,12076,2476
Factory-3,2679,16,2.1,16039,2623
Factory-4,2920,14,1.1,17169,2888
Factory-5,2326,17,1.9,16620,2282
Factory-1,2901,11,1.1,16402,2869
Factory-2,2162,10,2.6,16862,2106
Factory-3,2898,16,2,14416,2840
Factory-4,2058,12,2.3,15657,2011
Factory-5,2913,17,1.5,16201,2869
Factory-1,2660,17,2.8,13218,2586
Factory-2,2040,9,1.4,17389,2011
Factory-3,2080,13,2.2,13739,2034
Factory-4,2658,6,2.4,17090,2594
Factory-5,2407,11,2,15042,2359
Factory-1,2533,16,1.6,15579,2492
Factory-2,2962,7,1.8,13121,2909
Factory-3,2385,18,2,15823,2337
Factory-4,2733,20,3,12059,2651
Factory-5,2401,17,1.8,20000,2358
Factory-1,2878,13,2.1,16382,2818
Factory-2,2918,5,1.8,18938,2865
Factory-3,2897,18,2.5,13671,2825
Factory-4,2237,11,2.3,10580,2186
Factory-5,2689,12,1.6,17687,2646
Factory-1,2525,14,1.5,14315,2487
Factory-2,2873,15,1.4,10124,2833
Factory-3,2820,19,1.3,11084,2783
Factory-4,2973,12,2.2,19610,2908
Factory-5,2716,11,1.6,15716,2673
Factory-1,2387,9,2.6,10828,2325
Factory-2,2449,8,1,18901,2425
Factory-3,2063,14,2.8,19545,2005
Factory-4,2927,9,2.9,16774,2842
Factory-5,2965,12,1.2,14440,2929
Factory-1,2494,7,1.3,14914,2462
Factory-2,2891,8,1.4,11406,2851
Factory-3,2451,12,1.3,19030,2419
Factory-4,2163,17,1.8,18346,2124
Factory-5,150000,450,48.5,980000,77250
Factory-1,2790,12,1.3,11961,2754
Factory-2,2253,19,2,19990,2208
Factory-3,2317,16,1.2,19657,2289
Factory-4,2347,11,1.2,10694,2319
Factory-5,2804,7,2,13774,2748
Factory-1,2622,14,3,19463,2543
Factory-2,2344,9,1.6,16056,2306
Factory-3,2779,15,2.5,15400,2710
Factory-4,2315,9,2.6,14120,2255
Factory-5,2410,13,2.2,11612,2357
Factory-1,2557,18,2.5,17376,2493
Factory-2,2645,14,1.3,15581,2611
Factory-3,2051,5,1.5,15096,2020
Factory-4,2867,17,2.4,11613,2798
Factory-5,2354,12,1.5,10752,2319
Factory-1,2898,11,1.4,15596,2857
Factory-2,2582,16,1.2,10776,2551
Factory-3,2624,20,1.3,12021,2590
Factory-4,2366,12,2.5,12412,2307
Factory-5,2635,11,1.2,17320,2603
Factory-1,2764,16,1.9,14997,2711
Factory-2,2971,6,2.3,14606,2903
Factory-3,2028,10,1.2,13583,2004
Factory-4,2305,10,2.1,13442,2257
Factory-5,2106,13,1.9,16633,2066
Factory-1,2829,10,1.2,10458,2795
Factory-2,2420,16,3,12888,2347
Factory-3,2902,7,1.6,19522,2856
Factory-4,2476,14,1.7,12301,2434
Factory-5,2277,15,2.7,16362,2216
Factory-1,2287,8,1.7,16466,2248
Factory-2,2580,18,2.1,13092,2526
Factory-3,2351,19,2.6,15496,2290
Factory-4,2337,11,2.3,10816,2283
Factory-5,2994,6,2.6,11917,2916
Factory-1,2599,15,1.3,12298,2565
Factory-2,2857,10,1.2,15550,2823
Factory-3,2515,13,2.9,13722,2442
Factory-4,2289,13,2.5,19887,2232
Factory-5,2313,19,1.8,15327,2271
Factory-1,2519,10,1.4,18084,2484
Factory-2,2762,10,1.4,19253,2723
Factory-3,2840,11,2.2,16686,2778
Factory-4,2149,11,1.9,14066,2108
Factory-5,2094,14,1.4,17930,2065
Factory-1,2589,5,3,17973,2511
Factory-2,2318,14,2.6,19903,2258
Factory-3,2742,15,1.1,18106,2712
Factory-4,2952,8,1.4,11312,2911
Factory-5,2738,10,2.3,18123,2675
