Month,Revenue,Expenses,Net_Profit,Cash_Flow,Operating_Cost
2028-06,2603835,1739446,864389,795238,1088487
2028-07,2713235,1811900,901335,829228,1133591
2028-08,2696748,1792926,903822,831516,1118739
2028-09,2793001,1885402,907599,834991,1187152
2028-10,2833731,1901875,931856,857308,1193442
2028-11,2814519,1890783,923736,849837,1187153
2028-12,2909571,1939782,969789,892206,1212389
2029-01,2967549,1983352,984197,905461,1241465
2029-02,2999056,2009410,989646,910474,1259646
2029-03,2991726,2011978,979748,901368,1264046
2029-04,3048422,2042501,1005921,925447,1280395
2029-05,3074055,2045263,1028792,946489,1276749
2029-06,3201803,2164973,1036830,953884,1364522
2029-07,3213167,2169043,1044124,960594,1365751
2029-08,3253077,2199015,1054062,969737,1385746
2029-09,3267245,2207594,1059651,974879,1390783
2029-10,3315137,2238293,1076844,990696,1409509
2029-11,3376745,2244923,1131822,1041276,1400737
2029-12,3418278,2308243,1110035,1021232,1453673
2030-01,3469744,2312323,1157421,1064827,1444887
2030-02,3559235,2385036,1174199,1080263,1495227
2030-03,3655324,2466297,1189027,1093905,1552466
2030-04,3639052,2430961,1208091,1111444,1521198
2030-05,3765785,2508721,1257064,1156499,1567275
2030-06,3773502,2535316,1238186,1139131,1591940
2030-07,3790191,2532539,1257652,1157040,1584991
2030-08,3912336,2603652,1308684,1203989,1625568
2030-09,3913570,2629907,1283663,1180970,1651514
2030-10,4039101,2703914,1335187,1228372,1694139
2030-11,4077452,2725065,1352387,1244196,1705702
2030-12,4175664,2809364,1366300,1256996,1765448
2031-01,4228746,2816540,1412206,1299230,1759353
2031-02,4247150,2834966,1412184,1299209,1773178
2031-03,4321325,2877598,1443727,1328229,1797267
2031-04,4352683,2913855,1438828,1323722,1825684
2031-05,4422147,2966854,1455293,1338870,1861317
2031-06,4527752,3021660,1506092,1385605,1889722
2031-07,4540367,3044760,1495607,1375958,1909668
2031-08,4606478,3095286,1511192,1390297,1943666
2031-09,4698141,3135369,1562772,1437750,1960834
2031-10,4797281,3209191,1588090,1461043,2009871
2031-11,4842816,3244898,1597918,1470085,2034194
2031-12,4892020,3293927,1598093,1470246,2070922
2032-01,4991888,3339493,1652395,1520203,2091521
2032-02,5075064,3408863,1666201,1532905,2140097
2032-03,5164383,3445748,1718635,1581144,2154652
2032-04,5259609,3539825,1719784,1582201,2224923
2032-05,5279747,3555570,1724177,1586243,2235633
2032-06,5397037,3628445,1768592,1627105,2279186
2032-07,5447210,3646031,1801179,1657085,2284228
2032-08,5582746,3725295,1857451,1708855,2329608
2032-09,5645700,3782087,1863613,1714524,2370662
2032-10,5713747,3834470,1879277,1728935,2406033
2032-11,5775463,3854710,1920753,1767093,2410844
2032-12,5914544,3980095,1934449,1779693,2501459
2033-01,6013135,4021644,1991491,1832172,2518360
2033-02,6055766,4047233,2008533,1847850,2533291
2033-03,6149965,4134216,2015749,1854489,2596725
2033-04,6252925,4193595,2059330,1894584,2630364
2033-05,6356600,4239926,2116674,1947340,2650776
2033-06,6433443,4304019,2129424,1959070,2695658
2033-07,6558588,4405389,2153199,1980943,2765742
2033-08,6652893,4442596,2210297,2033473,2779373
2033-09,6704134,4483063,2221071,2043385,2807029
2033-10,6803057,4574040,2229017,2050696,2873276
2033-11,6969049,4675883,2293166,2109713,2933621
2033-12,7094515,4749163,2345352,2157724,2975534
2034-01,7133436,4780555,2352881,2164651,2997196
2034-02,7225106,4821236,2403870,2211560,3014959
2034-03,7385581,4941695,2443886,2248375,3095300
2034-04,7463922,5008222,2455700,2259244,3142241
2034-05,7614477,5098754,2515723,2314465,3195135
2034-06,7675061,5126257,2548804,2344900,3207492
2034-07,7812296,5233260,2579036,2372713,3280186
2034-08,7901703,5288004,2613699,2404603,3312578
2034-09,8100695,5407468,2693227,2477769,3382294
2034-10,8153718,5454727,2698991,2483072,3416297
2034-11,8307320,5580656,2726664,2508531,3503826
2034-12,8442799,5644123,2798676,2574782,3533423
2035-01,8528390,5713674,2814716,2589539,3581576
2035-02,8643659,5801562,2842097,2614729,3640647
2035-03,8782202,5889680,2892522,2661120,3694129
2035-04,8977759,5999564,2978195,2739939,3755124
2035-05,9119063,6119437,2999626,2759656,3839671
2035-06,9267497,6194667,3072830,2827004,3877793
2035-07,9378489,6281084,3097405,2849613,3936462
2035-08,9488132,6374356,3113776,2864674,4002323
2035-09,9690213,6494232,3195981,2940303,4071679
2035-10,9798875,6555775,3243100,2983652,4106056
2035-11,9985613,6703748,3281865,3019316,4207345
2035-12,10054868,6727240,3327628,3061418,4213523
2036-01,10191815,6833809,3358006,3089366,4285855
2036-02,10380298,6958598,3421700,3147964,4363523
2036-03,10537990,7069469,3468521,3191039,4434971
2036-04,10693200,7172124,3521076,3239390,4498824
2036-05,10876321,7299484,3576837,3290690,4580404
2036-06,11038968,7382840,3656128,3363638,4623098
2036-07,11147741,7453283,3694458,3398901,4666348
2036-08,11320411,7573134,3747277,3447495,4743031
2036-09,11575408,7773336,3802072,3497906,4879484
2036-10,11711222,7863209,3848013,3540172,4935403
2036-11,11856362,7951293,3905069,3592663,4987202
2036-12,12099576,8121406,3978170,3659916,5096512
2037-01,12233320,8191743,4041577,3718251,5133413
2037-02,12438219,8327806,4110413,3781580,5218251
2037-03,12593107,8421896,4171211,3837514,5273619
2037-04,12788732,8556593,4232139,3893568,5359410
2037-05,12945643,8691969,4253674,3913380,5455558
2037-06,13201115,8826281,4374834,4024847,5526002
2037-07,13420577,8979644,4440933,4085658,5624500
2037-08,13598286,9119322,4478964,4120647,5719750
2037-09,13744149,9225738,4518411,4156938,5789701
2037-10,13987541,9372460,4615081,4245875,5875575
2037-11,14172811,9491176,4681635,4307104,5947973
2037-12,14448120,9673757,4774363,4392414,6061727
2038-01,14674707,9820063,4854644,4466272,6151386
2038-02,14875397,9960640,4914757,4521576,6241791
2038-03,15048152,10080545,4967607,4570198,6318507
2038-04,15324042,10258992,5065050,4659846,6427981
2038-05,15493240,10377019,5116221,4706923,6503709
2038-06,15736608,10530051,5206557,4790032,6595899
2038-07,16011202,10721346,5289856,4866668,6718545
2038-08,16293812,10900063,5393749,4962249,6826610
2038-09,16468242,11019104,5449138,5013207,6902043
2038-10,16687864,11193144,5494720,5055142,7021178
2038-11,16940955,11363610,5577345,5131157,7128371
2038-12,17226966,11525928,5701038,5244955,7219186
2039-01,17493782,11705978,5787804,5324780,7332532
2039-02,17739469,11885138,5854331,5385985,7450271
2039-03,18064175,12096529,5967646,5490234,7580485
2039-04,18333634,12266641,6066993,5581634,7683232
2039-05,18529178,12417052,6112126,5623156,7784757
2039-06,18883700,12646514,6237186,5738211,7925589
2039-07,19094772,12806457,6288315,5785250,8032764
2039-08,19379932,12982301,6397631,5885821,8137318
2039-09,19679593,13192384,6487209,5968232,8272486
2039-10,20055284,13432313,6622971,6093133,8418492
2039-11,20355721,13654693,6701028,6164946,8565763
2039-12,20657455,13825470,6831985,6285426,8661106
2040-01,20901033,14023080,6877953,6327717,8797822
2040-02,21275648,14262378,7013270,6452208,8943466
2040-03,21607168,14462692,7144476,6572918,9060900
2040-04,21916664,14695036,7221628,6643898,9215870
2040-05,22183826,14877533,7306293,6721790,9331576
2040-06,22562873,15123708,7439165,6844032,9482990
2040-07,22849902,15307780,7542122,6938752,9595304
2040-08,23189814,15544589,7645225,7033607,9747135
2040-09,23570427,15774932,7795495,7171855,9882325
2040-10,23906073,16012195,7893878,7262368,10035677
2040-11,24294526,16276495,8018031,7376589,10202863
2040-12,24676408,16526237,8150171,7498157,10357135
2041-01,24979409,16749087,8230322,7571896,10504235
2041-02,25359233,16993886,8365347,7696119,10654078
2041-03,25818320,17303451,8514869,7833679,10848871
2041-04,26132514,17511411,8621103,7931415,10978282
2041-05,26586650,17829809,8756841,8056294,11183146
2041-06,26993435,18100469,8892966,8181529,11352110
2041-07,27402833,18355787,9047046,8323282,11505079
2041-08,27768991,18603861,9165130,8431920,11661613
2041-09,28224230,18924028,9300202,8556186,11867970
2041-10,28564965,19120596,9444369,8688819,11979355
2041-11,29081243,19489505,9591738,8824399,12219194
2041-12,29497701,19765423,9732278,8953696,12390998
2042-01,29960438,20062596,9897842,9106015,12572486
2042-02,30330728,20314079,10016649,9215317,12731397
2042-03,30792659,20628341,10164318,9351173,12930176
2042-04,31318863,20980469,10338394,9511322,13150753
2042-05,31698438,21239392,10459046,9622322,13314782
2042-06,32173801,21541153,10632648,9782036,13497703
2042-07,32743142,21948192,10794950,9931354,13762406
2042-08,33183848,22236812,10947036,10071273,13940850
2042-09,33723836,22581457,11142379,10250989,14150498
2042-10,34204004,22924543,11279461,10377104,14373542
2042-11,34736407,23258079,11478328,10560062,14573977
2042-12,35209173,23590236,11618937,10689422,14787943
2043-01,35745171,23954509,11790662,10847409,15018216
2043-02,36278658,24313429,11965229,11008011,15243764
2043-03,36828420,24680907,12147513,11175712,15473802
2043-04,37353604,25023126,12330478,11344040,15684725
2043-05,37981603,25466153,12515450,11514214,15970752
2043-06,38551543,25827015,12724528,11706566,16189129
2043-07,39083854,26167748,12916106,11882818,16396784
2043-08,39735045,26634917,13100128,12052118,16701156
2043-09,40246468,26945810,13300658,12236605,16884193
2043-10,40889522,27400991,13488531,12409449,17178610
2043-11,41545336,27844466,13700870,12604800,17458132
2043-12,42166718,28256650,13910068,12797263,17714970
