Employee_ID,Department,Salary,Experience,Performance,Attrition,Training_Hours
EMP-1128,Product,90000,4,81,0,79
EMP-1129,Marketing,127500,9,80,0,56
EMP-1130,Customer Support,90000,4,73,0,17
EMP-1131,Finance,135000,10,70,0,76
EMP-1132,Engineering,182500,13,75,0,39
EMP-1133,Sales,120000,8,74,0,28
EMP-1134,Product,75000,2,93,0,68
EMP-1135,Marketing,142500,11,67,0,65
EMP-1136,Customer Support,135000,10,65,0,44
EMP-1137,Finance,150000,12,86,0,36
EMP-1138,Engineering,190000,14,66,0,59
EMP-1139,Sales,135000,10,67,0,66
EMP-1140,Product,120000,8,68,0,68
EMP-1141,Marketing,105000,6,83,0,48
EMP-1142,Customer Support,97500,5,78,0,16
EMP-1143,Finance,127500,9,74,0,17
EMP-1144,Engineering,92500,1,74,0,76
EMP-1145,Sales,157500,13,91,0,32
EMP-1146,Product,142500,11,87,0,78
EMP-1147,Marketing,97500,5,88,0,32
EMP-1148,Customer Support,142500,11,90,0,56
EMP-1149,Finance,120000,8,82,0,19
EMP-1150,Engineering,167500,11,72,0,68
EMP-1151,Sales,172500,15,66,0,22
EMP-1152,Product,127500,9,73,0,76
EMP-1153,Marketing,75000,2,90,0,56
EMP-1154,Customer Support,150000,12,96,0,49
EMP-1155,Finance,165000,14,82,0,28
EMP-1156,Engineering,190000,14,85,0,68
EMP-1157,Sales,97500,5,87,0,34
EMP-1158,Product,135000,10,77,0,42
EMP-1159,Marketing,75000,2,98,0,64
EMP-1160,Customer Support,112500,7,81,0,76
EMP-1161,Finance,90000,4,68,0,21
EMP-1162,Engineering,107500,3,77,0,57
EMP-1163,Sales,120000,8,94,0,75
EMP-1164,Product,82500,3,72,0,80
EMP-1165,Marketing,112500,7,89,0,71
EMP-1166,Customer Support,165000,14,98,0,37
EMP-1167,Finance,112500,7,95,0,28
EMP-1168,Engineering,100000,2,76,0,19
EMP-1169,Sales,105000,6,87,0,40
EMP-1170,Product,90000,4,96,0,29
EMP-1171,Marketing,75000,2,70,1,76
EMP-1172,Customer Support,150000,12,66,0,16
EMP-1173,Finance,82500,3,71,0,38
EMP-1174,Engineering,115000,4,72,0,58
EMP-1175,Sales,75000,2,89,0,47
EMP-1176,Product,135000,10,94,0,70
EMP-1177,Marketing,105000,6,71,0,45
EMP-1178,Customer Support,120000,8,78,0,64
EMP-1179,Finance,112500,7,68,0,72
EMP-1180,Engineering,137500,7,74,0,33
EMP-1181,Sales,172500,15,68,0,54
EMP-1182,Product,165000,14,91,0,10
EMP-1183,Marketing,90000,4,88,0,47
EMP-1184,Customer Support,90000,4,92,0,46
EMP-1185,Finance,157500,13,74,0,19
EMP-1186,Engineering,100000,2,81,0,76
EMP-1187,Sales,165000,14,68,0,42
EMP-1188,Product,127500,9,95,0,63
EMP-1189,Marketing,90000,4,81,0,51
EMP-1190,Customer Support,127500,9,70,0,73
EMP-1191,Finance,127500,9,70,0,25
EMP-1192,Engineering,175000,12,68,0,16
EMP-1193,Sales,82500,3,69,0,60
EMP-1194,Product,127500,9,89,0,53
EMP-1195,Marketing,157500,13,77,0,63
EMP-1196,Customer Support,142500,11,68,0,67
EMP-1197,Finance,135000,10,75,0,50
EMP-1198,Engineering,190000,14,66,0,60
EMP-1199,Sales,142500,11,66,0,54
EMP-1200,Product,90000,4,81,0,13
EMP-1201,Marketing,75000,2,85,0,54
EMP-1202,Customer Support,135000,10,93,0,16
EMP-1203,Finance,97500,5,72,0,15
EMP-1204,Engineering,130000,6,77,0,51
EMP-1205,Sales,165000,14,79,0,69
EMP-1206,Product,112500,7,80,0,67
EMP-1207,Marketing,82500,3,71,0,61
EMP-1208,Customer Support,165000,14,85,0,19
EMP-1209,Finance,127500,9,83,0,17
EMP-1210,Engineering,107500,3,74,0,51
EMP-1211,Sales,135000,10,70,0,30
EMP-1212,Product,105000,6,67,0,64
EMP-1213,Marketing,135000,10,76,0,13
EMP-1214,Customer Support,142500,11,88,0,12
EMP-1215,Finance,127500,9,65,0,62
EMP-1216,Engineering,197500,15,92,0,75
EMP-1217,Sales,67500,1,66,1,73
EMP-1218,Product,135000,10,90,0,63
EMP-1219,Marketing,97500,5,76,0,42
EMP-1220,Customer Support,97500,5,93,0,52
EMP-1221,Finance,105000,6,91,0,27
EMP-1222,Engineering,122500,5,77,0,55
EMP-1223,Sales,90000,4,79,0,58
EMP-1224,Product,90000,4,66,0,79
EMP-1225,Marketing,150000,12,93,0,23
EMP-1226,Customer Support,165000,14,67,0,12
EMP-1227,Finance,150000,12,94,0,79
EMP-1228,Engineering,145000,8,93,0,25
EMP-1229,Sales,75000,2,86,0,60
EMP-1230,Product,112500,7,71,0,13
EMP-1231,Marketing,165000,14,78,0,63
EMP-1232,Customer Support,157500,13,71,0,55
EMP-1233,Finance,112500,7,92,0,48
EMP-1234,Engineering,137500,7,66,0,37
EMP-1235,Sales,75000,2,97,0,38
EMP-1236,Product,75000,2,67,1,43
EMP-1237,Marketing,172500,15,98,0,76
EMP-1238,Customer Support,105000,6,82,0,12
EMP-1239,Finance,165000,14,79,0,46
EMP-1240,Engineering,190000,14,88,0,33
EMP-1241,Sales,105000,6,73,0,59
EMP-1242,Product,172500,15,93,0,27
EMP-1243,Marketing,97500,5,70,0,77
EMP-1244,Customer Support,97500,5,91,0,14
EMP-1245,Finance,112500,7,94,0,55
EMP-1246,Engineering,167500,11,86,0,18
EMP-1247,Sales,150000,12,77,0,39
EMP-1248,Product,97500,5,82,0,72
EMP-1249,Marketing,150000,12,75,0,75
EMP-1250,Customer Support,67500,1,80,0,32
EMP-1251,Finance,165000,14,92,0,17
EMP-1252,Engineering,190000,14,67,0,17
EMP-1253,Sales,120000,8,92,0,20
EMP-1254,Product,157500,13,92,0,46
EMP-1255,Marketing,105000,6,88,0,69
EMP-1256,Customer Support,120000,8,74,0,36
EMP-1257,Finance,82500,3,92,0,55
EMP-1258,Engineering,92500,1,86,0,61
EMP-1259,Sales,165000,14,83,0,68
EMP-1260,Product,157500,13,83,0,14
EMP-1261,Marketing,112500,7,94,0,28
EMP-1262,Customer Support,97500,5,85,0,11
EMP-1263,Finance,120000,8,86,0,47
EMP-1264,Engineering,100000,2,88,0,23
EMP-1265,Sales,90000,4,86,0,70
EMP-1266,Product,157500,13,71,0,49
EMP-1267,Marketing,82500,3,77,0,22
EMP-1268,Customer Support,165000,14,86,0,23
EMP-1269,Finance,75000,2,92,0,58
EMP-1270,Engineering,197500,15,91,0,66
EMP-1271,Sales,82500,3,98,0,10
EMP-1272,Product,135000,10,86,0,31
EMP-1273,Marketing,165000,14,84,0,22
EMP-1274,Customer Support,127500,9,98,0,60
EMP-1275,Finance,112500,7,83,0,64
EMP-1276,Engineering,167500,11,68,0,61
EMP-1277,Sales,67500,1,90,0,74
EMP-1278,Product,90000,4,86,0,44
EMP-1279,Marketing,75000,2,77,0,17
EMP-1280,Customer Support,112500,7,80,0,35
EMP-1281,Finance,142500,11,74,0,38
EMP-1282,Engineering,197500,15,94,0,13
EMP-1283,Sales,135000,10,93,0,53
EMP-1284,Product,75000,2,78,0,47
EMP-1285,Marketing,157500,13,91,0,76
EMP-1286,Customer Support,165000,14,81,0,71
EMP-1287,Finance,67500,1,81,0,77
EMP-1288,Engineering,167500,11,78,0,14
EMP-1289,Sales,120000,8,69,0,24
EMP-1290,Product,82500,3,80,0,38
EMP-1291,Marketing,105000,6,83,0,66
EMP-1292,Customer Support,172500,15,85,0,25
EMP-1293,Finance,150000,12,70,0,50
EMP-1294,Engineering,152500,9,73,0,54
EMP-1295,Sales,150000,12,91,0,79
EMP-1296,Product,142500,11,92,0,55
EMP-1297,Marketing,97500,5,93,0,41
EMP-1298,Customer Support,97500,5,70,0,41
EMP-1299,Finance,165000,14,78,0,41
EMP-1300,Engineering,137500,7,98,0,33
