Store,Category,Inventory,Sales,Margin,Customer_Count
Berlin Mitte,Beauty & Health,3953,2135,31,31
Flagship NYC,Electronics,6603,4820,57,41
London Oxford St,Apparel,607,401,37.4,5
Tokyo Shibuya,Home & Living,1731,1419,35,25
Berlin Mitte,Beauty & Health,7577,8032,43,73
Flagship NYC,Electronics,6837,4991,57.1,104
London Oxford St,Apparel,4637,2319,45.8,24
Tokyo Shibuya,Home & Living,2849,2051,57.2,30
Berlin Mitte,Beauty & Health,4308,2412,49.8,31
Flagship NYC,Electronics,4378,4290,35.6,73
London Oxford St,Apparel,1172,1160,46.3,23
Tokyo Shibuya,Home & Living,3314,1524,46.5,17
Berlin Mitte,Beauty & Health,6963,3830,55,47
Flagship NYC,Electronics,5407,3515,51.3,66
London Oxford St,Apparel,1848,924,31.4,10
Tokyo Shibuya,Home & Living,889,711,32.1,10
Berlin Mitte,Beauty & Health,5685,2331,44.8,21
Flagship NYC,Electronics,3777,2342,30.4,21
London Oxford St,Apparel,3407,1976,45.3,21
Tokyo Shibuya,Home & Living,6772,8059,35.8,179
Berlin Mitte,Beauty & Health,705,684,54.5,10
Flagship NYC,Electronics,2300,1978,48.4,20
London Oxford St,Apparel,5405,5459,29.5,72
Tokyo Shibuya,Home & Living,4119,2183,36.6,34
Berlin Mitte,Beauty & Health,6322,4425,47.2,43
Flagship NYC,Electronics,7477,3514,47.6,36
London Oxford St,Apparel,4202,4832,43.7,48
Tokyo Shibuya,Home & Living,528,607,29.3,9
Berlin Mitte,Beauty & Health,7708,8864,56.4,88
Flagship NYC,Electronics,6172,4506,35.3,41
London Oxford St,Apparel,3186,1943,45.2,26
Tokyo Shibuya,Home & Living,891,838,31.1,12
Berlin Mitte,Beauty & Health,1741,1428,50.8,20
Flagship NYC,Electronics,6968,5783,51.6,62
London Oxford St,Apparel,3807,3274,34.6,44
Tokyo Shibuya,Home & Living,3277,1606,52.2,21
Berlin Mitte,Beauty & Health,6558,3672,51.8,38
Flagship NYC,Electronics,7975,5343,50.4,83
London Oxford St,Apparel,5202,4526,53.2,75
Tokyo Shibuya,Home & Living,5846,5086,54.1,83
Berlin Mitte,Beauty & Health,6562,7349,56.4,92
Flagship NYC,Electronics,1407,915,56.6,10
London Oxford St,Apparel,1668,1518,44.7,25
Tokyo Shibuya,Home & Living,3675,4006,35.8,72
Berlin Mitte,Beauty & Health,902,794,44.8,11
Flagship NYC,Electronics,1483,1335,31.8,11
London Oxford St,Apparel,3858,4205,37.1,44
Tokyo Shibuya,Home & Living,7044,7114,44.8,61
Berlin Mitte,Beauty & Health,5272,2900,31.4,30
Flagship NYC,Electronics,5743,5226,48.9,47
London Oxford St,Apparel,6978,7885,40.8,78
Tokyo Shibuya,Home & Living,7225,3179,29.5,29
Berlin Mitte,Beauty & Health,1660,1743,41.1,31
Flagship NYC,Electronics,4812,4956,48.1,45
London Oxford St,Apparel,4536,2767,45.8,48
Tokyo Shibuya,Home & Living,2241,919,31.6,8
Berlin Mitte,Beauty & Health,7554,7478,37.5,73
Flagship NYC,Electronics,3253,1724,41.4,35
London Oxford St,Apparel,697,592,42.4,8
Tokyo Shibuya,Home & Living,2620,2672,32,48
Berlin Mitte,Beauty & Health,5462,4151,56.3,38
Flagship NYC,Electronics,4290,2746,46.1,23
London Oxford St,Apparel,6448,7415,33.7,68
Tokyo Shibuya,Home & Living,5692,3244,33.2,28
Berlin Mitte,Beauty & Health,3037,1397,45.1,19
Flagship NYC,Electronics,5442,5877,36.8,58
London Oxford St,Apparel,621,621,44.9,5
Tokyo Shibuya,Home & Living,6386,3385,39.6,32
Berlin Mitte,Beauty & Health,5465,5957,54.5,50
Flagship NYC,Electronics,1005,864,29.6,14
London Oxford St,Apparel,5705,6390,43.9,125
Tokyo Shibuya,Home & Living,7128,4990,47.5,59
Berlin Mitte,Beauty & Health,5743,4767,49.4,67
Flagship NYC,Electronics,4030,3667,32.5,39
London Oxford St,Apparel,4872,4239,40.7,36
Tokyo Shibuya,Home & Living,4897,4848,49.7,66
Berlin Mitte,Beauty & Health,7314,4169,34.8,60
Flagship NYC,Electronics,4004,4084,51.3,65
London Oxford St,Apparel,7768,3962,49.1,54
Tokyo Shibuya,Home & Living,518,285,39.7,3
Berlin Mitte,Beauty & Health,615,683,34.1,7
Flagship NYC,Electronics,1475,1313,57.7,12
London Oxford St,Apparel,5234,3140,34.7,30
Tokyo Shibuya,Home & Living,5508,5673,52.6,57
Berlin Mitte,Beauty & Health,6958,3966,44.8,33
Flagship NYC,Electronics,4098,2951,38.6,37
London Oxford St,Apparel,7574,4393,45.8,64
Tokyo Shibuya,Home & Living,937,984,32.3,21
Berlin Mitte,Beauty & Health,7766,7921,50.4,141
Flagship NYC,Electronics,7057,6563,46.7,71
London Oxford St,Apparel,3343,2574,53.9,24
Tokyo Shibuya,Home & Living,1869,1458,41.7,12
Berlin Mitte,Beauty & Health,2608,2504,43.4,25
Flagship NYC,Electronics,2735,2735,36.9,29
London Oxford St,Apparel,1088,838,55.3,18
Tokyo Shibuya,Home & Living,6637,3518,33,40
Berlin Mitte,Beauty & Health,5840,3854,45.1,48
Flagship NYC,Electronics,555,266,47.7,2
London Oxford St,Apparel,6430,7523,52.2,112
Tokyo Shibuya,Home & Living,7687,3997,35.2,47
Berlin Mitte,Beauty & Health,5971,6568,48.4,57
Flagship NYC,Electronics,7095,5392,42.6,66
London Oxford St,Apparel,3182,2100,39.8,20
Tokyo Shibuya,Home & Living,3090,2966,34,41
Berlin Mitte,Beauty & Health,4308,2154,47.5,40
Flagship NYC,Electronics,3163,3353,34.8,32
London Oxford St,Apparel,4245,4967,33.3,66
Tokyo Shibuya,Home & Living,616,524,29.1,10
Berlin Mitte,Beauty & Health,3514,3549,38.4,32
Flagship NYC,Electronics,7828,4932,53.7,62
London Oxford St,Apparel,597,334,30.6,4
Tokyo Shibuya,Home & Living,7211,3029,33.9,66
Berlin Mitte,Beauty & Health,4907,5250,56.7,46
Flagship NYC,Electronics,2384,954,38.4,16
London Oxford St,Apparel,7554,7856,44.4,164
Tokyo Shibuya,Home & Living,5484,5703,36.2,53
Berlin Mitte,Beauty & Health,3768,2072,40.6,28
Flagship NYC,Electronics,6945,8265,33.3,150
London Oxford St,Apparel,7770,7148,55.2,69
Tokyo Shibuya,Home & Living,1795,736,54.4,7
Berlin Mitte,Beauty & Health,4108,1725,38.7,33
Flagship NYC,Electronics,6936,3468,43,32
London Oxford St,Apparel,3012,2259,57.8,28
Tokyo Shibuya,Home & Living,1662,1197,56.9,14
Berlin Mitte,Beauty & Health,4152,4110,56.3,60
Flagship NYC,Electronics,860,894,30,11
London Oxford St,Apparel,4283,1756,51.5,18
Tokyo Shibuya,Home & Living,762,488,30,7
Berlin Mitte,Beauty & Health,4638,2551,47.5,21
Flagship NYC,Electronics,2967,2908,45.4,33
London Oxford St,Apparel,3753,2064,43.1,22
Tokyo Shibuya,Home & Living,1988,1352,50.8,21
Berlin Mitte,Beauty & Health,7846,6277,38.5,71
Flagship NYC,Electronics,1373,1085,57.1,13
London Oxford St,Apparel,914,768,47.2,11
Tokyo Shibuya,Home & Living,6611,7008,50.5,135
Berlin Mitte,Beauty & Health,1004,492,54.6,5
Flagship NYC,Electronics,5124,3177,34.2,42
London Oxford St,Apparel,530,392,33.6,8
Tokyo Shibuya,Home & Living,4698,2161,44.2,22
Berlin Mitte,Beauty & Health,3053,2626,32.1,39
Flagship NYC,Electronics,548,279,49.5,3
London Oxford St,Apparel,6272,5018,31.1,48
Tokyo Shibuya,Home & Living,4363,4058,50.8,52
Berlin Mitte,Beauty & Health,3938,2166,30.1,45
Flagship NYC,Electronics,5760,5242,36.9,103
London Oxford St,Apparel,7136,8563,30.3,114
Tokyo Shibuya,Home & Living,5241,4717,56.2,69
Berlin Mitte,Beauty & Health,4792,3834,46,32
Flagship NYC,Electronics,7388,5615,31.2,60
London Oxford St,Apparel,3190,1436,30.3,15
Tokyo Shibuya,Home & Living,6519,4889,43.3,57
Berlin Mitte,Beauty & Health,5209,5105,47.2,45
Flagship NYC,Electronics,2967,3382,51.1,69
London Oxford St,Apparel,569,535,36.2,5
Tokyo Shibuya,Home & Living,6142,2702,30,29
Berlin Mitte,Beauty & Health,5583,5918,33.7,97
Flagship NYC,Electronics,6866,5424,36.3,113
London Oxford St,Apparel,7157,6012,50.2,102
Tokyo Shibuya,Home & Living,7678,8446,51.7,71
Berlin Mitte,Beauty & Health,3526,4020,36.9,79
Flagship NYC,Electronics,1050,1040,34.7,12
London Oxford St,Apparel,7945,8581,36.3,101
Tokyo Shibuya,Home & Living,1912,1396,37.4,15
Berlin Mitte,Beauty & Health,4395,4219,50.2,68
Flagship NYC,Electronics,4402,4622,34,75
London Oxford St,Apparel,2102,2249,30.7,40
Tokyo Shibuya,Home & Living,890,1032,48.9,17
Berlin Mitte,Beauty & Health,1268,926,54.4,11
